text,hour,minute,second,day,month,year,datetime,text_clean,sentiment
"No Governo @Haddad_Fernando, a geração de empregos será uma das prioridades. O futuro presidente te explica como fará isso. Confira! #HaddadÉLulaNoSBT https://t.co/zjFQtPq4P5",18,46,38,26,9,2018,2018-09-26 18:46:38,o governar @haddad_fernando o geração emprego umar prioridade o futurar presidente explicar comer conferir haddadélulanosbt,1.0
TE AMO DACIOLO SEJA MEU PAI,18,37,18,26,9,2018,2018-09-26 18:37:18,amar daciolo pai,1.0
"Cabo Daciolo é um sujeito legal 😎
#DebateSBT
Glória 👏🏻",19,12,49,26,9,2018,2018-09-26 19:12:49,cabo daciolo sujeitar legal 😎 debatesbt glória 👏 🏻,1.0
"Em 15 estados, PT se alia a partidos que apoiaram impeachment https://t.co/egmVZBHckc",18,34,51,26,9,2018,2018-09-26 18:34:51,15 pt aliar o apoiar impeachment,0.0
"Começou o #DebateSBT ao melhor estilo SBT. 

Boulos não tá na foto porque tá tentando invadir a Casa dos Artistas. https://t.co/to03hPmZOK",17,53,37,26,9,2018,2018-09-26 17:53:37,começar o debatesbt o o melhor estilar sbt boulos tá o foto tá invadir o casar artista,-1.0
se não for pra ir em debate pra falar que ama a mãe então não vejo sentido em disputar a presidência,19,11,54,26,9,2018,2018-09-26 19:11:54,pra debater pra falar amo o mãe sentir disputar o presidência,1.0
Mas o Daciolo desceu do morro pistola tal qual Moises quebrando bezerro de ouro e os cacete,18,19,46,26,9,2018,2018-09-26 18:19:46,o daciolo descer morrer pistola moises quebrar bezerro ourar e o cacete,1.0
Tá qto o debate?,18,32,37,26,9,2018,2018-09-26 18:32:37,tá qto o debater,0.0
@marigraciolli @DoctorClimao Alto lá q Daciolo é extremo CERTO,18,55,47,26,9,2018,2018-09-26 18:55:47,@marigraciolli @doctorclimao alto q daciolo extremar certar,1.0
Daciolo mais à esquerda que o Boulos no #DebateSBT,18,36,53,26,9,2018,2018-09-26 18:36:53,daciolo esquerdo o boulos o debatesbt,0.0
Sou com muita honra advogado do presidente @LulaOficial. Visito ele todas as segundas porque está preso injustamente. E não vou descansar enquanto Lula não tiver um julgamento justo. #DebateSBT,18,35,7,26,9,2018,2018-09-26 18:35:07,honrar advogar presidente @lulaoficial visitar o presar injustamente e descansar lula julgamento justar debatesbt,1.0
"@lucatoledo Só vota no Ciro quem cai na ladainha dele e não conhece a história do moço. O cara era do PDS, partido… https://t.co/fVZ31X1kJd",19,24,14,26,9,2018,2018-09-26 19:24:14,@lucatoledo só votar o ciro cair o ladainha d e conhecer o história moço o caro pds …,-1.0
SEGUNDO CIRO GOMES ....O CEARA É O ÉDEN SOB A TERRA 🤣🤣 #DebateSBT,19,19,22,26,9,2018,2018-09-26 19:19:22,segundar ciro gomar .... o cear o éden o terra 🤣 🤣 debatesbt,1.0
"se o brasil fosse um país sério, o cabo daciolo venceria no primeiro turno",18,51,22,26,9,2018,2018-09-26 18:51:22,o brasil país sério o cabo daciolo vencer o turno,1.0
Marina lindíssima pisando e expondo os corruptos #DebateSBT #MarinaNoDebateSBT https://t.co/pSB3B6S3XF,18,49,11,26,9,2018,2018-09-26 18:49:11,marino lindo pisar e expor o corrupto debatesbt marinanodebatesbt,1.0
"Ciro é um dos poucos que usam o tempo não pra atacar, mas pra falar dos problemas do Brasil e suas propostas para resolver

Felizmente o debate entre ele e qualquer um outro candidato tem um alto nível 

#debatesbt #ciro12
#cironosbt https://t.co/p77rjS4Frz",19,13,6,26,9,2018,2018-09-26 19:13:06,ciro o pra atacar pra falar problema brasil e suar proposto parir resolver felizmente o debater entrar e candidatar alto debatesbt ciro12 cironosbt,1.0
Ciro gomes é de escorpião tá explicado pq todo mundo quer da pra ele,18,23,37,26,9,2018,2018-09-26 18:23:37,ciro gomar escorpião tá explicar pq mundo querer pra,1.0
"Daciolo é uma mistura de Bíblia, Karl Marx e remédios tarja preta.",18,49,40,26,9,2018,2018-09-26 18:49:40,daciolo umar misturar bíblia karl marx e remédio tarjar preto,0.0
"Provas contra Lula: a própria presidência disse que o Triplex era dele e ele próprio declarou o triplex no Imposto de Renda. #DebateSBT 

https://t.co/zpoS6K8ueo",19,23,20,26,9,2018,2018-09-26 19:23:20,provar lula o presidência o triplex d e declarar o triplex o impor render debatesbt,0.0
"marina não dá, vc é mais bipolar que eu na tpm, na política não rola isso

#debatesbt",18,31,3,26,9,2018,2018-09-26 18:31:03,marino vc bipolar o tpm o político rolo debatesbt,-1.0
"CIRO FALANDO É TIPO REDAÇÃO NOTA MIL DO ENEM

INTRODUÇÃO

DESENVOLVIMENTO

PROPOSTA DE INTERVENÇÃO

E CONCLUSÃO.

#CiroNoSBT  #DebateSBT https://t.co/WQciqZVr6N",19,9,43,26,9,2018,2018-09-26 19:09:43,ciro falar redação noto enem introdução desenvolvimento proposto intervenção e conclusão cironosbt debatesbt,1.0
@yanescudo MAS AS URNAS VÃO VIR DA VENEZUELA E O PLANO DO LULA QUE É O PRESIDENTE DA URSAL VAI ACONTECER. O BOLSONARO É O ILUMINADO DE DEUS QUE VAI SALVAR O BRASIL DO ESQUERDISMO https://t.co/kY1ndwfHXx,17,46,57,26,9,2018,2018-09-26 17:46:57,@yanescudo o urna venezuela e o planar lula o presidente ursal acontecer o bolsonaro o iluminar deus salvar o brasil esquerdismo,0.0
Debate sem daciolo é a maior ameaça à democracia brasileira,18,40,56,26,9,2018,2018-09-26 18:40:56,debater daciolo o ameaçar democracia brasileiro,-1.0
"Se o Cabo Daciolo é contra a Havan, acredito eu que o @ChoqueDeCultura deve se posicionar. #DebateSBT",18,36,31,26,9,2018,2018-09-26 18:36:31,o cabo daciolo o havan acreditar o @choquedecultura dever posicionar debatesbt,0.0
"Como Ministro da Educação no governo @LulaOficial, @Haddad_Fernando criou mais de 200 escolas técnicas e 38 institu… https://t.co/lCevSDIL8g",19,0,1,26,9,2018,2018-09-26 19:00:01,comer ministrar educação o governar @lulaoficial @haddad_fernando criar 200 escola técnico e 38 institu …,1.0
"“Abuso de substância é caso do SUS” boulos, Guilherme",18,31,12,26,9,2018,2018-09-26 18:31:12,“ abusar substância casar sus boulos guilherme,0.0
@marcogomes Mas essa sua ultima fala no debate foi incrível ( por mais bizarro que pareça ),18,43,25,26,9,2018,2018-09-26 18:43:25,@marcogomes suar ultimar falir o debater incrível bizarro parecer,1.0
"A Marina vai falar de mulher a noite toda, mas, na questão do aborto, já que disse que vetaria, se passasse pelo Congresso.",18,53,27,26,9,2018,2018-09-26 18:53:27,o marino falar mulher o o abortar vetar passar pelar congresso,-1.0
Álvaro Dias rapando a canela com trava alta do pessoal do PT.,18,40,14,26,9,2018,2018-09-26 18:40:14,álvaro rapar o canelar travar alto pessoal pt,1.0
O país precisa de um presidente que conheça sua geografia econômica. Eu conheço o Brasil e vou finalizar as obras tão importantes pro nosso povo que estão estagnadas. #DebateSBT #UOLnasUrnas #Ciro12,18,4,42,26,9,2018,2018-09-26 18:04:42,o país preciso presidente conhecer suar geografia econômica conhecer o brasil e finalizar o obrar importante pro estagnar debatesbt uolnasurnas ciro12,1.0
PUTA QUE PARIU DACIOLO É GIGANTE,18,39,0,26,9,2018,2018-09-26 18:39:00,puta parir daciolo gigante,1.0
O DACIOLO TINHA QUE TER UM PROGRAMA SÁBADO A TARDE NA GLOBO NO LUGAR DO LUCIANO HUCK,19,14,34,26,9,2018,2018-09-26 19:14:34,o daciolo programar sábado o tardar o globo o luciano huck,1.0
ciro chamando bonossauro de aberração aovivasso amo,18,22,25,26,9,2018,2018-09-26 18:22:25,ciro chamar bonossauro aberração aovivasso amar,1.0
Ciro Gomes recebe alta e já xinga todo mundo de nazista sem ajuda de aparelhos,18,16,30,26,9,2018,2018-09-26 18:16:30,ciro gomar receber alto e xingar mundo nazista ajudar aparelho,-1.0
Quero Boulos e Daciolo na próxima edição da Fazenda,19,10,59,26,9,2018,2018-09-26 19:10:59,querer boulos e daciolo o edição fazenda,1.0
"DACIOLO PROFETIZANDO SAHUSAHUSASAHUSAHUSAHUSAHUSAHUSAHUSA

EU PRECISO DESSE HOMEM NA PRESIDÊNCIA",19,14,30,26,9,2018,2018-09-26 19:14:30,daciolo profetizar sahusahusasahusahusahusahusahusahusa precisar d homem o presidência,1.0
O debate já começou na baixaria #DebateSBT https://t.co/RZkKBOlexw,17,54,30,26,9,2018,2018-09-26 17:54:30,o debater começar o baixar debatesbt,0.0
"PT quer apoio de Garotinho a Haddad ainda no primeiro turno https://t.co/YxLwP32xaK - PT e Garotinho, tudo a ver rs.",19,11,28,26,9,2018,2018-09-26 19:11:28,pt querer apoiar garoto o haddad o turno pt e garoto o rs,-1.0
Estes filhos do Bolsonaro Não sabem fazer politica. Vai usar a condição de filho para chegar ao presidente da repub… https://t.co/VOvn2I8z6w,18,44,12,26,9,2018,2018-09-26 18:44:12,filho bolsonaro politicar o condição filhar parir chegar o o presidente repub …,-1.0
"Ciro contraria médicos, deixa hospital e vai a debate. https://t.co/ej5KryLMuY https://t.co/X7fiP3RpUH",18,19,35,26,9,2018,2018-09-26 18:19:35,ciro contrariar médico deixar hospital e o debater,0.0
"O PIOR PREFEITO DA HISTÓRIA DE SP (INVESTIGADO POR CORRUPÇÃO E HUMILHADO NAS URNAS) QUER SER PRESIDENTE

É TIPO UM TREINADOR SER REBAIXADO NO ESTADUAL E DEPOIS QUERER TREINAR A SELEÇÃO NA COPA DO MUNDO #HaddadAmarelou",17,48,5,26,9,2018,2018-09-26 17:48:05,o prefeito história sp investigar corrupção e humilhar o urna querer presidente treinador rebaixar o estadual e querer treinar o seleção o copar mundo haddadamarelou,-1.0
Precisamos do Brasil FELIZ Com DIREITOS DESENVOLVIMENTO SONHOS Empregos Empresas LulaeuConfio LulaInocente LulaEscolheu HaddadÉLula #HaddadÉLulaNoSBT  #elenão https://t.co/Ex3zK7xxAc,18,35,56,26,9,2018,2018-09-26 18:35:56,precisar brasil feliz direito desenvolvimento sonho emprego empresar lulaeuconfio lulainocente lulaescolheu haddadélula haddadélulanosbt elenão,1.0
"Fernando Haddad, candidato de #Lula à Presidência da República, chega para o debate no SBT. https://t.co/Y4lIqgK1EL",18,33,6,26,9,2018,2018-09-26 18:33:06,fernando haddad candidatar lula presidência repúblico chegar parir o debater o sbt,0.0
queria ver um debate cabo daciolo x bolsonaro #DebateSBT,18,18,22,26,9,2018,2018-09-26 18:18:22,querer debater cabo daciolo x bolsonaro debatesbt,0.0
assim como daciolo amo todas as mulheres brasileiras,19,18,32,26,9,2018,2018-09-26 19:18:32,comer daciolo amar o mulher brasileiro,1.0
a marina ta putassa kkkkkk,18,10,38,26,9,2018,2018-09-26 18:10:38,o marino ta putassa kkkkkk,1.0
MARINA LEVANTANDO A SOBRANCELHAAA EU AMO UM DEBOCHE SUTIL #DebateSBT,18,55,16,26,9,2018,2018-09-26 18:55:16,marino levantar o sobrancelhaaa amar debochar sutil debatesbt,1.0
Sou a única pessoa que está vendo isso de debate e não está entendendo NADA? #DebateSBT,17,59,16,26,9,2018,2018-09-26 17:59:16,o único pessoa debater e entender nado debatesbt,0.0
rapaz esse Haddad é só o óleo da lata de sardinha do PT,18,57,44,26,9,2018,2018-09-26 18:57:44,rapaz haddad só o óleo lato sardinha pt,-1.0
"Henrique Meirelles

primeiro brasileiro a presidir um banco americano
ministro da fazenda e presidente do BC 
trezentos milhão na conta

e termina tendo que fazer pergunta pro cabo daciloucos numa quarta à tarde #DebateSBT",18,13,41,26,9,2018,2018-09-26 18:13:41,henrique meirelles brasileiro o presidir banco americano ministrar fazenda e presidente bc trezentos milhão o contar e terminar perguntar pro cabo daciloucos tardar debatesbt,0.0
Vontade de parar de trabalhar e assistir ao debate!!! Já na baixaria.,18,3,57,26,9,2018,2018-09-26 18:03:57,vontade parar e assistir o o debater o baixar,-1.0
"Alckmin: a gente fez em Sao P--

Ciro: vai ô velho broxa do caralho noia fudido soh comendo as marmitinha dos outro do metro q vc nao entregou.
obrigado",19,2,13,26,9,2018,2018-09-26 19:02:13,alckmin o gente sao p-- ciro ô velho broxar caralho noia fudido soh comer o marmitinha metro q vc nao entregar obrigar,-1.0
ciro gosta de um deboche,18,59,41,26,9,2018,2018-09-26 18:59:41,ciro gostar debochar,0.0
"Marina Silva é contra e a favor do fundo partidário, ela vai dialogar muito para decidir como vai ficar. #DebateSBT",19,6,5,26,9,2018,2018-09-26 19:06:05,marino silvar e o fundir partidário dialogar parir decidir comer ficar debatesbt,0.0
"De Ciro Gomes (@cirogomes) no #DebateSBT: “Meu estado, o Ceará, tem a menor mortalidade infantil do Brasil”
FALSO: O Ceará é apenas o 11° estado com menor mortalidade infantil, com 14,4 mortes por mil nascidos, de acordo com o IBGE.
Fonte: https://t.co/i4rdTKTaoZ",19,28,13,26,9,2018,2018-09-26 19:28:13,"ciro gomar @cirogomes o debatesbt “ o cear o mortalidade infantil brasil falsar o cear o 11 ° mortalidade infantil 14,4 morte nascido acordar o ibge fonte",0.0
nem os universitários,18,5,44,26,9,2018,2018-09-26 18:05:44,o universitário,0.0
"""[...] É muito engraçado, Haddad, você vir falar de Temer e golpe e vai pedir a benção a Renan Calheiros. [...] Vocês, do PT, se juntaram a Temer e levaram o Brasil para o buraco"", disse Marina para Haddad.

nota: Marina zerou o debate.",18,15,4,26,9,2018,2018-09-26 18:15:04,engraçar haddad falar temer e golpe e pedir o benção o renan calheiros pt juntar o temer e levar o brasil parir o buracar marino parir haddad noto marino zerou o debater,1.0
"De todas as loucuras que o Daciolo fala, uma devo admitir como fato. Preconceito e descaso com as classes e etnias… https://t.co/JZfJErbArt",19,13,34,26,9,2018,2018-09-26 19:13:34,o loucura o daciolo falir umar dever admitir comer fato preconceito e descasar o classe e etnia …,1.0
Hahahahaha as olheiras do daciolo,18,11,34,26,9,2018,2018-09-26 18:11:34,hahahahaha o olheiro daciolo,1.0
daciolo é foice e cruz,18,50,43,26,9,2018,2018-09-26 18:50:43,daciolo foiçar e cruz,-1.0
se esquivou,18,41,55,26,9,2018,2018-09-26 18:41:55,esquivar,0.0
"#DebateSBT 
Nem o Daciolo sabe o quanto foi roubado.",19,5,43,26,9,2018,2018-09-26 19:05:43,debatesbt o daciolo o quantum roubar,-1.0
"Temos mais de 400 milhões na pobreza...

Daciolo é presidente a candidato da Índia?",18,17,48,26,9,2018,2018-09-26 18:17:48,400 milhão o pobreza daciolo presidente o candidatar índio,-1.0
Essa é boa de gaveta https://t.co/uFY48hPs7K,18,38,38,26,9,2018,2018-09-26 18:38:38,gaveta,0.0
Marina deu nos dedos do PT. Renan Calheiros é Haddad! #DebateSBT,18,18,14,26,9,2018,2018-09-26 18:18:14,marino o dedo pt renan calheiros haddad debatesbt,1.0
@SchuldinerSieg Kkkkkkkkkkkk. Tem que haver o Debate ! Eu não me posiciono !,18,53,2,26,9,2018,2018-09-26 18:53:02,@schuldinersieg kkkkkkkkkkkk haver o debater posicionar,0.0
"#DebateSBT: Fernando Haddad (@Haddad_Fernando) fala sobre desenvolvimento regional: Haddad também lembrou que retomará 2800 obras paradas pelo país, gerando empregos e reaquecendo a economia – parte do Programa Meu Emprego de Novo https://t.co/QCwy75aRNr",18,38,52,26,9,2018,2018-09-26 18:38:52,debatesbt fernando haddad @haddad_fernando falir sobrar desenvolvimento regional haddad lembrar retomar 2800 obrar parar pelar país gerar emprego e reaquecendo o economia – programar empregar,0.0
"Eu acompanho a carreira do @andrevaladao desde 1998, ainda no Diante do Trono, e lamento profundamente o tipo de pa… https://t.co/bbpdLXrYbl",18,12,50,26,9,2018,2018-09-26 18:12:50,acompanhar o carreira @andrevaladao 1998 o tronar e lamentar profundamente o pa …,0.0
"""Muito obrigado, vou ver Corinthians e Flamengo agr no Itaquera""

Álvaro dias no debate kkkkkkkkkkkkkkk",19,22,59,26,9,2018,2018-09-26 19:22:59,obrigar corinthians e flamengo agr o itaquera álvaro o debater kkkkkkkkkkkkkkk,1.0
Ciro Gomes recebe alta e já xinga todo mundo de nazista sem ajuda de aparelhos,18,47,48,26,9,2018,2018-09-26 18:47:48,ciro gomar receber alto e xingar mundo nazista ajudar aparelho,-1.0
"Alckmin sobre membros do PSDB corruptos: ""Quem errou, paga""

CADÊ O AÉCIO NA CADEIA ENTÃO? #DebateSBT https://t.co/5B61rC63Jj",18,31,12,26,9,2018,2018-09-26 18:31:12,alckmin sobrar membro psdb corrupto errar pago cadê o aécio o cadeia debatesbt,-1.0
"Se Daciolo continuar assim vai roubar, digo, ganhar meu voto!",18,40,57,26,9,2018,2018-09-26 18:40:57,daciolo continuar roubar ganhar votar,-1.0
"Caraca, Daciolo parece time pequeno jogando uma final. #goDaciolo",18,15,49,26,9,2018,2018-09-26 18:15:49,caraca daciolo parecer time pequeno jogar umar godaciolo,-1.0
@RikEditor Não acredito que tu nao vai fazer da marina dando uma olhadinha pro lado,18,56,11,26,9,2018,2018-09-26 18:56:11,@rikeditor acreditar nao marino umar olhadinha pro,0.0
@folha Marina é cínica em dizer que nao sabia que Aécio era corrupto.,18,48,19,26,9,2018,2018-09-26 18:48:19,@folha marino cínico nao aécio corrupto,-1.0
Vai pra cima Ciro! Próximo bloco é @cirogomes no #DebateSBT #CiroNeles #Ciro12 #CiroPresidente,18,14,56,26,9,2018,2018-09-26 18:14:56,pra ciro bloco @cirogomes o debatesbt cironeles ciro12 ciropresidente,1.0
"Quando tem uma bagunça ou uma briga dentro da família ninguém chama o Meirelles. Chama uma tia, chama a mãe, uma avó, chama uma mulher corajosa pra botar ordem na casa e unir todo mundo. É isso que eu vou fazer como Presidente #MarinaNoDebateSBT #DebateSBT",19,25,38,26,9,2018,2018-09-26 19:25:38,umar bagunça umar brigar família ninguém chamar o meirelles chamar umar tio chamar o mãe umar avô chamar umar mulher corajoso pra botar ordem o casar e unir mundo comer presidente marinanodebatesbt debatesbt,0.0
"Meirelles: Alckmin, vamos falar de eficiência. A linha 5 do metrô está sendo concluída. O problema é q isso levou 20 anos. É essa a eficiência q você pretende levar para Brasília?

Ouch! https://t.co/7JwT3ADkgK",19,11,5,26,9,2018,2018-09-26 19:11:05,meirelles alckmin falar eficiência o linha 5 metrô concluir o problema q levar 20 o eficiência q pretender levar parir brasília ouch,-1.0
"Com a lataria consertada 😄, a caminho do debate! Liga lá, a partir das 17h45. #DebateSBT #UOLnasUrnas #Ciro12 https://t.co/tDgNzrVM5T",17,47,20,26,9,2018,2018-09-26 17:47:20,o lataria consertar 😄 o caminhar debater ligar o 17h45 debatesbt uolnasurnas ciro12,0.0
O Cabo Daciolo é um gênio incompreendido,18,36,45,26,9,2018,2018-09-26 18:36:45,o cabo daciolo gênio incompreendido,1.0
"Na possibilidade  de Haddad  ganhar  para a presidência da República, se houver  um impeachment  ,que vai ser sua… https://t.co/iOelNPdXKL",19,19,17,26,9,2018,2018-09-26 19:19:17,o possibilidade haddad ganhar parir o presidência repúblico haver impeachment suar …,0.0
#Ciro12 #DebateSBT #CiroNoSegundoTurno Arrasou Ciro,18,22,55,26,9,2018,2018-09-26 18:22:55,ciro12 debatesbt cironosegundoturno arrasar ciro,1.0
essa é a melhor thread do debate do SBT AHEUAHEUAHUE,19,13,53,26,9,2018,2018-09-26 19:13:53,o melhor thread debater sbt aheuaheuahue,1.0
"Boulos você quer plebiscito pra liberar as drogas?
-SIM CLARO O POVO QUE DECIDE
Boulos você quer plebiscito para liberar porte de arma?
-SAI FASCISTXXXXXX",19,14,44,26,9,2018,2018-09-26 19:14:44,boulos querer plebiscitar pra liberar o drogar -sim claro o decidir boulos querer plebiscitar parir liberar portar armar -sai fascistxxxxxx,-1.0
""" E amanhã talvez eu seja um pouquinho mais sábio ""

Eu amo nosso presidente KKKKKKKKKKKKKKKKKK

[I vote @BTS_twt as my Favorite Social Artist for #AMAs ] https://t.co/AkKSPC8okj",18,49,41,26,9,2018,2018-09-26 18:49:41,e amanhã sábio amar presidente kkkkkkkkkkkkkkkkkk votar @bts_twt o my favorite social artist amo,1.0
ah eleição deveria ser igual a jogos vorazes joga todos os candidato em uma ilha e oh último a sobreviver vira presidente,19,14,40,26,9,2018,2018-09-26 19:14:40,ah eleição dever igual o jogo voraz jogar o candidatar umar ilhar e oh o sobreviver virar presidente,-1.0
Marina trazendo verdades.,19,10,0,26,9,2018,2018-09-26 19:10:00,marino trazer,1.0
"Celso Daniel e Toninho foram executados a mando da organização criminosa PT
#DebateSBT 
#CiroNoSBT",18,44,52,26,9,2018,2018-09-26 18:44:52,celso daniel e toninho executar o mandar organização criminoso pt debatesbt cironosbt,-1.0
"Outro pau no PT, desta vez de Ciro. Que culpou o PT por “essa aberracao chamada Bolsonaro”.",19,2,55,26,9,2018,2018-09-26 19:02:55,pau o pt d ciro culpar o pt “ aberracao chamar bolsonaro,0.0
ah eleição deveria ser igual a jogos vorazes joga todos os candidato em uma ilha e oh último a sobreviver vira presidente,19,10,38,26,9,2018,2018-09-26 19:10:38,ah eleição dever igual o jogo voraz jogar o candidatar umar ilhar e oh o sobreviver virar presidente,-1.0
"Ciro foi extremamente desonesto agora no #DebateSBT. Quem criou Bolsonaro foi a imprensa hegemônica e a reação conservadora global que teve impacto aqui, especialmente durante a crise. Culpar o PT exclusivamente pelo anti-petismo é canalha demais.",18,34,10,26,9,2018,2018-09-26 18:34:10,ciro extremamente desonestar o debatesbt criar bolsonaro o imprensar hegemônica e o reação conservador global impactar especialmente durante o crise culpar o pt exclusivamente pelar anti petismo canalha,-1.0
"Haddad foi safado!!! disse do Dream team, mas esquece as rasteiras sucessivas ao Ciro!! a proposta indecente do Lul… https://t.co/Nq5cY6brpf",18,27,41,26,9,2018,2018-09-26 18:27:41,haddad safar dream team esquecer o rasteiro sucessivo o o ciro o proposto indecente lul …,-1.0
meu deus essa voz da marina silva,19,3,22,26,9,2018,2018-09-26 19:03:22,deus voz marino silvar,-1.0
"o brasil precisa de um homem.
cabo daciolo.",19,25,14,26,9,2018,2018-09-26 19:25:14,o brasil preciso homem cabo daciolo,1.0
"Em semana de votação decisiva, presidente do Santos tem que pagar dívida com a Doyen https://t.co/Obr1rQPy8Y",18,20,25,26,9,2018,2018-09-26 18:20:25,semana votação decisivo presidente santo pagar dívida o doyen,0.0
"Como diria o presidiário condenado por corrupção e lavagem, “nunca antes na história deste país”, houve propaganda eleitoral de um presidiário no lugar de um candidato oficial à presidência da República. https://t.co/FDre5zrnAR",18,23,21,26,9,2018,2018-09-26 18:23:21,comer o presidiário condenar corrupção e lavagem “ antar o história d país haver propaganda eleitoral presidiário o candidatar oficial presidência repúblico,-1.0
"Vendo o Debate do SBT, CABO DACIOLO pregando o Evangelho aos candidatos. 
Um homem simples e um candidato cristão respeitável.",18,18,50,26,9,2018,2018-09-26 18:18:50,o debater sbt cabo daciolo pregar o evangelho o o candidato homem simples e candidatar cristão respeitável,1.0
"Se estivéssemos num momento melhor da democracia, ver Daciolo seria uma graça #DebateSBT #Ciro12 #CiroNoSBT",19,17,58,26,9,2018,2018-09-26 19:17:58,melhor democracia daciolo seriar umar graça debatesbt ciro12 cironosbt,1.0
"NINGUÉM PERGUNTANDO PRO CABO DACIOLO

PQ QUEREM CALAR ESSA VOZ?",18,53,34,26,9,2018,2018-09-26 18:53:34,ninguém perguntar pro cabo daciolo pq querer calar voz,-1.0
"Nossa senhora, meu deus, Marina Silva destruiu Fernando Haddad. 

Eu tô chocado e de boca aberta.

Tocou na ferida: fala de golpe, mas está junto com Renan Calheiros. E aí, Haddad, é golpe e está com os golpistas? 

#DebateSBT",18,16,39,26,9,2018,2018-09-26 18:16:39,senhor deus marino silvar destruir fernando haddad tô chocar e bocar aberto tocar o ferir falir golpe juntar renan calheiros e haddad golpe e o golpista debatesbt,1.0
"Daciolo é uma mistura de Bíblia, Karl Marx e remédios tarja preta.",18,55,0,26,9,2018,2018-09-26 18:55:00,daciolo umar misturar bíblia karl marx e remédio tarjar preto,0.0
